"Package Name","category","URL","Need Dependency","Installable"
"fonts-adf-accanthis(0.20110505-1)","fonts","http://ftp.osuosl.org/pub/ubuntu/pool/universe/f/fonts-adf/fonts-adf-accanthis_0.20110505-1_all.deb",0,1
"fonts-dustin(20030517-13)","fonts","http://mirrors.kernel.org/ubuntu/pool/universe/f/fonts-dustin/fonts-dustin_20030517-13_all.deb",0,1
"fonts-prociono(2.3-5)","fonts","http://mirrors.kernel.org/ubuntu/pool/universe/f/fonts-prociono/fonts-prociono_2.3-5_all.deb",0,1
"java-common(0.63ubuntu1~02)","misc","http://mirrors.kernel.org/ubuntu/pool/main/j/java-common/java-common_0.63ubuntu1~02_all.deb",0,1
"aurora(1.9.3-0ubuntu1)","misc","http://mirrors.kernel.org/ubuntu/pool/universe/a/aurora/aurora_1.9.3-0ubuntu1_amd64.deb",0,1
"libkeyutils1(1.5.9-9.2ubuntu2)","misc","http://mirrors.kernel.org/ubuntu/pool/main/k/keyutils/libkeyutils1_1.5.9-9.2ubuntu2_amd64.deb",0,1
"jaminid(0.99a-1.1ubuntu1)","java","http://mirrors.kernel.org/ubuntu/pool/universe/j/jaminid/jaminid_0.99a-1.1ubuntu1_all.deb",0,1
"libgoogle-gson-java(2.8.2-1)","java","http://mirrors.kernel.org/ubuntu/pool/universe/libg/libgoogle-gson-java/libgoogle-gson-java_2.8.2-1_all.deb",0,1
"libjatl-java(0.2.3-1)","java","http://mirrors.kernel.org/ubuntu/pool/universe/j/jatl/libjatl-java_0.2.3-1_all.deb",0,1
"gcc-6-base(6.4.0-17ubuntu1)","libs","http://mirrors.kernel.org/ubuntu/pool/universe/g/gcc-6/gcc-6-base_6.4.0-17ubuntu1_amd64.deb",0,1
"libacpi0(0.2-4.1)","libs","http://mirrors.kernel.org/ubuntu/pool/universe/liba/libacpi/libacpi0_0.2-4.1_amd64.deb",0,1
